Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
366.1081,0.1337,2.3063,0.021,15
391.2773,0.1337,2.3361,0.0198,15
315.4608,0.1417,2.3137,0.0229,15
321.3505,0.1334,2.2887,0.0238,18
313.2021,0.1331,2.2766,0.0245,17
341.3366,0.1313,2.297,0.023,17
329.4059,0.1349,2.297,0.023,17
507.4496,0.1168,2.3101,0.018,23
298.4421,0.1389,2.3368,0.0249,15
353.1942,0.1289,2.2524,0.0221,16
229.5904,0.1537,2.3855,0.0291,13
332.1351,0.1454,2.3423,0.0213,16
409.8099,0.1305,2.314,0.0193,17
306.3936,0.1352,2.2766,0.0245,16
301.3933,0.1302,2.2697,0.0258,16
209.375,0.1486,2.3056,0.0325,16
272.1978,0.1448,2.3297,0.0259,15
220.6267,0.1468,2.2933,0.031,15
277.8161,0.1371,2.2989,0.0267,16
279.7826,0.1422,2.3478,0.0258,15
297.6436,0.1469,2.3762,0.0238,15
337.1373,0.1333,2.3137,0.0229,15
365.6552,0.1385,2.3448,0.0204,15
362.4474,0.1382,2.3509,0.0208,16
422.256,0.1307,2.352,0.019,16
332.6857,0.138,2.3238,0.0223,15
363.9905,0.1285,2.2476,0.0216,17
295.2198,0.1362,2.3077,0.0256,18
376.4701,0.1372,2.359,0.0203,17
465.1955,0.1279,2.3459,0.0178,18
315.4421,0.1325,2.2526,0.024,17
395.9612,0.117,2.1942,0.0215,18
312.617,0.1334,2.3404,0.0252,19
200.7391,0.1487,2.2609,0.0332,16
305.65,0.1418,2.36,0.0238,15
376.8718,0.136,2.359,0.0203,16
424.0394,0.1331,2.378,0.0189,17
258.186,0.145,2.3488,0.0276,16
324.0404,0.1346,2.3232,0.0237,17
242.2625,0.1442,2.35,0.0297,17
327.8333,0.1297,2.2708,0.0239,17
244.284,0.1437,2.2963,0.0287,15
257.5422,0.1401,2.2892,0.0279,15
263.4762,0.1394,2.2857,0.0275,16
276.7143,0.1429,2.2857,0.0254,15
287.0588,0.1308,2.2588,0.0269,18
279.8,0.1398,2.3333,0.0262,15
378.9911,0.1318,2.3363,0.0209,18
351.0857,0.1324,2.3048,0.0222,16
287.2581,0.1419,2.3011,0.025,15
259.9186,0.1434,2.2791,0.0268,16
266.5165,0.1483,2.3297,0.0259,15
408.2672,0.1274,2.2931,0.0199,19
437.5484,0.1276,2.3065,0.0188,20
333.7905,0.1376,2.3238,0.0223,16
350.3592,0.1304,2.2524,0.0221,17
370.7857,0.1336,2.3571,0.0212,18
292.9783,0.1385,2.2826,0.0251,17
140.322,0.1749,2.3051,0.0397,13
355.6449,0.1332,2.2804,0.0215,17
337.2946,0.1443,2.3571,0.0212,14
451.8593,0.1327,2.3852,0.0178,16
329.8037,0.1413,2.3738,0.0224,15
259.7857,0.1414,2.3333,0.0281,15
142.7818,0.1628,2.2909,0.0424,15
275.2674,0.137,2.2558,0.0265,16
228.9459,0.1406,2.2432,0.0307,17
165.8525,0.1563,2.2951,0.0383,15
279.4333,0.1414,2.2889,0.0257,16
294.3789,0.1406,2.2947,0.0244,15
186.7761,0.1534,2.2687,0.0344,14
398.9487,0.1301,2.3077,0.0199,18
192.5916,0.1569,2.338,0.0334,14
260.191,0.1476,2.3371,0.0266,14
299.5914,0.1368,2.3011,0.025,17
364.9811,0.1282,2.2642,0.0216,18
406.7025,0.1314,2.2975,0.0191,18
435.2521,0.1233,2.2689,0.0192,18
400.0168,0.1318,2.3025,0.0195,17
371.1651,0.1297,2.2936,0.0212,16
386.3491,0.1227,2.2264,0.0212,20
390.0273,0.1257,2.2909,0.021,18
443.314,0.1216,2.2645,0.0189,18
418.6121,0.1243,2.2586,0.0196,18
316.8654,0.1439,2.3846,0.0232,17
406.3594,0.1386,2.4062,0.0189,17
427.5938,0.1332,2.375,0.0187,17
291.9247,0.1394,2.3226,0.0252,16
374.1111,0.1293,2.2963,0.0215,19
307.5474,0.1353,2.2947,0.0244,16
211.1711,0.1534,2.3158,0.0309,15
297.7473,0.1349,2.2857,0.0254,17
222.7763,0.1477,2.2895,0.0305,16
235.025,0.1477,2.275,0.0288,15
277.7303,0.1407,2.2697,0.0258,17
252.6585,0.1412,2.2683,0.028,15
354.8679,0.1323,2.283,0.0217,19
305.3474,0.1359,2.2947,0.0244,16
341.419,0.1355,2.3048,0.0222,15
276.2444,0.1423,2.2889,0.0257,15
310.8544,0.1431,2.3495,0.023,13
320.93,0.137,2.28,0.023,16
