Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
8452.0797,0.214,9.9866,0.0022,11
8221.0311,0.2174,10.0874,0.0023,9
9222.7558,0.1984,9.2894,0.0021,11
9533.9819,0.1933,9.8244,0.0022,11
9593.5177,0.1925,10.3571,0.0023,11
8521.7944,0.2115,11.1156,0.0025,11
9789.4489,0.1888,10.578,0.0024,13
8299.1234,0.2147,10.6837,0.0024,10
9141.8976,0.1995,9.9458,0.0022,11
9566.7128,0.1933,9.9606,0.0022,12
8870.297,0.2047,9.8387,0.0022,11
6637.7175,0.2549,8.7133,0.002,9
7495.0905,0.2331,10.4718,0.0023,9
7694.8784,0.2286,10.1443,0.0023,9
10220.1219,0.1835,8.8177,0.002,12
9793.6756,0.1897,8.634,0.0019,10
7487.33,0.2331,9.2979,0.0021,8
6937.8474,0.2467,8.6017,0.0019,7
7332.0213,0.2388,9.2478,0.0021,10
8578.0954,0.2111,10.2182,0.0023,12
9811.7961,0.1889,9.2079,0.0021,12
9062.6649,0.2015,8.8728,0.002,11
10067.4348,0.1843,9.2334,0.0021,11
9816.3042,0.1883,9.155,0.0021,12
11700.543,0.1635,9.8961,0.0022,15
11389.6357,0.1671,10.2397,0.0023,14
8861.1337,0.2052,10.0363,0.0022,10
8655.5598,0.2086,10.3562,0.0023,10
7968.5029,0.2223,11.4453,0.0026,10
8594.1127,0.2094,10.4055,0.0023,10
10975.6617,0.1721,9.4888,0.0021,13
9635.8757,0.1923,9.5923,0.0021,13
6668.713,0.254,9.5018,0.0021,8
9604.8152,0.1969,10.2809,0.0023,12
9640.0909,0.193,9.435,0.0021,13
10871.2543,0.1763,8.5672,0.0019,15
10430.2831,0.1797,8.4583,0.0019,12
9496.2498,0.1938,8.401,0.0019,10
7495.0027,0.2335,9.1788,0.0021,9
6567.5016,0.257,8.2872,0.0019,8
7346.4303,0.2362,8.8647,0.002,8
6247.0343,0.2713,6.2357,0.0014,9
7327.4924,0.237,8.612,0.0019,9
8938.325,0.2039,8.7249,0.002,11
9576.4456,0.1923,8.5506,0.0019,11
8809.2301,0.2054,8.7697,0.002,10
9818.4279,0.1889,8.8858,0.002,12
10384.7834,0.1801,9.0797,0.002,12
9531.6933,0.1933,10.1344,0.0023,11
9694.487,0.1908,10.5569,0.0024,11
8327.5101,0.2146,10.5157,0.0024,9
8103.9785,0.2191,10.4055,0.0023,9
8149.948,0.2187,10.8589,0.0024,10
9013.0542,0.2028,10.6595,0.0024,11
9229.881,0.1982,9.6667,0.0022,10
11905.9597,0.1623,10.1595,0.0023,14
7563.2536,0.2328,10.6066,0.0024,9
8010.7648,0.2226,10.1895,0.0023,10
9183.2471,0.1997,8.621,0.0019,10
9209.2702,0.1991,8.6478,0.0019,11
10563.0188,0.1781,8.5815,0.0019,12
10071.9982,0.186,8.2961,0.0019,12
7839.519,0.2249,9.3772,0.0021,9
6799.2348,0.2513,10.4722,0.0023,8
7940.9827,0.2234,8.7778,0.002,9
7563.9673,0.2315,10.474,0.0023,9
6384.6817,0.2633,8.1335,0.0018,7
8708.674,0.2075,8.1788,0.0018,11
8670.521,0.2085,8.4158,0.0019,11
9750.3069,0.1892,8.6725,0.0019,11
10108.7023,0.1832,9.0134,0.002,12
9477.0441,0.1941,8.5623,0.0019,11
9354.4321,0.1964,9.4633,0.0021,11
10027.4326,0.1861,10.4642,0.0023,13
8557.1539,0.2103,10.4718,0.0023,9
8302.9138,0.2148,10.6429,0.0024,10
7599.2108,0.2299,10.4471,0.0023,8
8660.4675,0.2089,10.267,0.0023,10
8471.6077,0.2118,10.414,0.0023,9
9514.2829,0.1936,9.2961,0.0021,11
10088.0152,0.1848,9.7796,0.0022,11
8487.0352,0.2115,9.8266,0.0022,10
9243.0383,0.1969,9.3333,0.0021,9
8356.6868,0.2178,8.2702,0.0019,11
8932.752,0.2044,8.0502,0.0018,10
9517.491,0.1951,8.4937,0.0019,11
9115.0703,0.2004,8.5757,0.0019,11
7413.4595,0.2349,9.9924,0.0022,8
6709.8414,0.2536,10.5143,0.0024,8
7395.8584,0.2363,10.349,0.0023,9
8448.726,0.2126,10.3351,0.0023,9
7138.9747,0.2413,9.1949,0.0021,9
8752.3615,0.2051,7.9919,0.0018,10
9621.9646,0.1908,8.5842,0.0019,10
8879.3613,0.203,8.7599,0.002,8
8849.8943,0.2043,8.7366,0.002,10
9743.0403,0.1896,8.6626,0.0019,12
9903.7469,0.1881,9.4476,0.0021,12
9247.2616,0.1987,10.5094,0.0024,11
9340.545,0.1968,9.5865,0.0021,12
8663.0551,0.208,9.4095,0.0021,9
8365.1122,0.2135,9.8168,0.0022,10
8095.4852,0.2191,10.2177,0.0023,9
8688.4353,0.2076,10.2984,0.0023,9
9678.9196,0.1904,8.7711,0.002,11
9493.1158,0.1934,9.9588,0.0022,10
8667.832,0.2075,9.7177,0.0022,10
7775.2287,0.2258,9.2769,0.0021,8
7807.0672,0.231,9.0901,0.002,10
8725.1956,0.2095,8.3266,0.0019,10
9732.8401,0.1922,8.4095,0.0019,12
8470.5618,0.2121,9.2504,0.0021,10
8207.5394,0.2172,9.5488,0.0021,9
7686.5853,0.2293,8.754,0.002,9
7161.9003,0.2412,9.7119,0.0022,9
8804.5553,0.2055,8.9023,0.002,10
9837.7576,0.1879,8.4588,0.0019,11
10739.1904,0.1752,8.3616,0.0019,13
9394.3038,0.1935,8.4521,0.0019,10
9409.4442,0.1942,8.4588,0.0019,11
